Date,Open,High,Low,Close,Volume,Change
01-01-2015,8272.8,8294.7,8248.75,8284,56.56M,0.0002
02-01-2015,8288.7,8410.6,8288.7,8395.45,101.89M,0.0135
05-01-2015,8407.95,8445.6,8363.9,8378.4,118.16M,-0.002
06-01-2015,8325.3,8327.85,8111.35,8127.35,172.80M,-0.03
07-01-2015,8118.65,8151.2,8065.45,8102.1,164.08M,-0.0031
08-01-2015,8191.4,8243.5,8167.3,8234.6,143.80M,0.0164
09-01-2015,8285.45,8303.3,8190.8,8284.5,152.61M,0.0061
12-01-2015,8291.35,8332.6,8245.6,8323,103.15M,0.0046
13-01-2015,8346.15,8356.65,8267.9,8299.4,129.56M,-0.0028
14-01-2015,8307.25,8326.45,8236.65,8277.55,150.62M,-0.0026
15-01-2015,8424.5,8527.1,8380.55,8494.15,232.14M,0.0262
16-01-2015,8504.05,8530.75,8452.25,8513.8,181.37M,0.0023
19-01-2015,8550.05,8570.95,8531.5,8550.7,129.35M,0.0043
20-01-2015,8575.1,8707.9,8574.5,8695.6,158.71M,0.0169
21-01-2015,8719.65,8741.85,8689.6,8729.5,191.65M,0.0039
22-01-2015,8745.85,8774.15,8727,8761.4,180.91M,0.0037
23-01-2015,8827.95,8866.4,8795.4,8835.6,197.12M,0.0085
27-01-2015,8871.35,8925.05,8825.45,8910.5,192.01M,0.0085
28-01-2015,8902.75,8985.05,8874.05,8914.3,190.81M,0.0004
29-01-2015,8901.5,8966.65,8861.25,8952.35,264.25M,0.0043
30-01-2015,8996.6,8996.6,8775.1,8808.9,275.59M,-0.016
02-02-2015,8802.5,8840.8,8751.1,8797.4,216.56M,-0.0013
03-02-2015,8823.15,8837.3,8726.65,8756.55,208.67M,-0.0046
04-02-2015,8789.15,8792.85,8704.4,8723.7,201.25M,-0.0038
05-02-2015,8733.1,8838.45,8683.65,8711.7,179.01M,-0.0014
06-02-2015,8696.85,8726.2,8645.55,8661.05,176.55M,-0.0058
09-02-2015,8584.4,8605.55,8516.35,8526.35,151.33M,-0.0156
10-02-2015,8478.1,8646.25,8470.5,8565.55,202.30M,0.0046
11-02-2015,8603.3,8651.95,8593.65,8627.4,166.56M,0.0072
12-02-2015,8676.95,8732.55,8599.25,8711.55,163.68M,0.0098
