Currency-Name,High,Date-high,Low,Date-low
0KB,44.17,03-05-2021,1.25,17-05-2019
Aave,666.86,18-05-2021,0.0,10-02-2020
Algorand,3.28,21-06-2019,0.1024,13-03-2020
Amp,0.1211,16-06-2021,0.0007946,17-11-2020
Ankr,0.2252,28-03-2021,0.0007111,13-03-2020
Arweave,90.94,05-11-2021,0.4854,27-05-2020
Audius,4.99,27-03-2021,0.07774,03-11-2020
Avalanche,96.91,08-11-2021,2.79,24-12-2020
Axie Infinity,165.37,06-11-2021,0.1234,06-11-2020
Basic Attention Token,1.65,09-04-2021,0.06621,16-07-2017
Binance Coin,690.93,10-05-2021,0.09611,01-08-2017
Binance USD,1.11,12-03-2020,0.8861,13-03-2020
BitTorrent,0.01426,05-04-2021,0.0001394,13-03-2020
Bitcoin,68789.63,10-11-2021,171.51,14-01-2015
Bitcoin BEP2,85563.99,21-10-2019,0.07685,23-06-2021
Bitcoin Cash,4355.62,20-12-2017,75.08,15-12-2018
Bitcoin SV,491.64,16-04-2021,36.87,23-11-2018
Cardano,3.1,02-09-2021,0.01735,01-10-2017
Celo,10.66,30-08-2021,0.7955,22-05-2020
Chainlink,52.88,10-05-2021,0.1263,23-09-2017
Chiliz,0.8915,13-03-2021,0.004001,27-09-2019
Compound,911.2,12-05-2021,61.27,18-06-2020
Cosmos,44.7,20-09-2021,1.13,13-03-2020
Crypto.com Coin,0.4406,14-11-2021,0.01149,17-12-2018
Curve DAO Token,60.5,14-08-2020,0.3316,25-10-2020
Dai,1.14,18-09-2020,0.9455,10-05-2020
Dash,1642.22,20-12-2017,1.05,14-01-2015
Decentraland,4.69,30-10-2021,0.007883,13-10-2017
Decred,250.02,17-04-2021,0.3948,28-12-2016
Dogecoin,0.7376,08-05-2021,8.55e-05,07-05-2015
EOS,22.89,29-04-2018,0.4802,23-10-2017
Elrond,338.22,10-11-2021,6.54,07-10-2020
Enjin Coin,4.0,09-04-2021,0.01562,02-11-2017
Ethereum,4859.5,10-11-2021,0.4209,21-10-2015
Ethereum Classic,176.16,06-05-2021,0.4524,25-07-2016
FTX Token,85.02,09-09-2021,0.8313,07-09-2019
Fantom,3.48,28-10-2021,0.001953,13-03-2020
Filecoin,237.24,01-04-2021,1.83,29-08-2019
Flow,46.16,04-05-2021,5.82,27-01-2021
Harmony,0.3798,26-10-2021,0.001257,13-03-2020
Hedera,0.5701,16-09-2021,0.01001,02-01-2020
Helium,54.82,11-11-2021,0.2534,06-10-2020
Holo,0.03157,05-04-2021,0.0002189,13-03-2020
Huobi Token,39.81,12-05-2021,0.8903,30-01-2019
ICON,43.37,04-02-2021,1.16,25-05-2020
IOTA,5.69,19-12-2017,0.07962,13-03-2020
