Currency-Name,Risk-or-not,Risk-factor
Binance USD,Not-Risky,0.465627818012767
USD Coin,Not-Risky,0.49368657359355
Tether,Not-Risky,0.5630888363788302
TrueUSD,Not-Risky,0.6158727657722545
Dai,Not-Risky,0.96289139201718
TerraUSD,Not-Risky,1.294114516072173
UNUS SED LEO,Not-Risky,3.1064546093264434
Bitcoin,Not-Risky,3.912620906368541
Wrapped Bitcoin,Not-Risky,4.179448985105803
FTX Token,Not-Risky,5.3775659716614
Huobi Token,Not-Risky,5.72985995250729
Litecoin,Not-Risky,5.922502124385481
Bitcoin BEP2,Not-Risky,5.947682012171296
Dash,Not-Risky,6.204501795396946
Ethereum,Not-Risky,6.367132272288466
Monero,Not-Risky,6.524704525103953
Maker,Not-Risky,6.70875814845208
0KB,Not-Risky,6.800983835397354
Nexo,Not-Risky,6.923727077976326
VeChain,Not-Risky,7.00316339128575
Decred,Not-Risky,7.1857871934225255
Zilliqa,Not-Risky,7.222256835958529
Cosmos,Not-Risky,7.271645247114192
Tezos,Not-Risky,7.277759087823603
IOTA,Not-Risky,7.334570679441222
Basic Attention Token,Not-Risky,7.357085312828264
BitTorrent,Not-Risky,7.3903434957265715
Waves,Not-Risky,7.406264186504889
Algorand,Not-Risky,7.468418448134414
Bitcoin Cash,Not-Risky,7.548354507303247
XRP,Not-Risky,7.653801590751113
Elrond,Not-Risky,7.679365702155033
Binance Coin,Not-Risky,7.767459000797967
Chainlink,Not-Risky,7.8360594540032205
Stellar,Not-Risky,7.881509008328906
KuCoin Token,Not-Risky,7.88424380608671
Raencoin,Not-Risky,7.888000749143697
Crypto.com Coin,Not-Risky,7.901814904755946
Ankr,Not-Risky,7.926090223936606
THETA,Not-Risky,7.974561363311436
Holo,Not-Risky,7.9786221773717925
Polkadot,Risky,8.064803177181984
Cardano,Risky,8.110210022657984
Qtum,Risky,8.241583928563893
OMG Network,Risky,8.299310504839362
Zcash,Risky,8.340635096589782
Revain,Risky,8.447998907135341
EOS,Risky,8.5178746369939
Terra,Risky,8.592012715679777
NEM,Risky,8.605485924063967
Stacks,Risky,8.729110873667198
Flow,Risky,8.748370815793159
Helium,Risky,8.82624279264343
Quant,Risky,8.898041545517342
NEAR Protocol,Risky,8.979295284055246
Solana,Risky,8.989584045619806
Amp,Risky,9.05330913106222
Kusama,Risky,9.10763019172805
Loopring,Risky,9.166975497216496
Bitcoin SV,Risky,9.182523294559982
TRON,Risky,9.206804585680251
Hedera,Risky,9.247935609699532
Avalanche,Risky,9.265034635975573
Telcoin,Risky,9.303111484165557
Internet Computer,Risky,9.334547031030157
Theta Fuel,Risky,9.379136697089148
Chiliz,Risky,9.430088855096772
ICON,Risky,9.43638973951078
UMA,Risky,9.43638973951078
Enjin Coin,Risky,9.46985286530809
Harmony,Risky,9.473951637423866
THORChain,Risky,9.556797532998903
WAX,Risky,9.578418417365272
Polygon,Risky,9.580311896520168
Klaytn,Risky,9.58131442619491
IoTeX,Risky,9.700120639149144
Compound,Risky,9.745841499927938
Fantom,Risky,9.87450370937655
Neo,Risky,9.91894948806411
Arweave,Risky,9.951589365619425
Ethereum Classic,Risky,10.058363580707043
Decentraland,Risky,10.082132269891504
Dogecoin,Risky,10.17146531822713
yearn.finance,Risky,10.2568975923067
Mina,Risky,10.535304875202192
PancakeSwap,Risky,10.583804220336635
Curve DAO Token,Risky,10.769059175908504
Filecoin,Risky,10.980706117188213
The Sandbox,Risky,11.338116543931296
Audius,Risky,11.584599343314366
Kadena,Risky,11.824306604098718
Livepeer,Risky,11.965865014661508
The Graph,Risky,12.255800983120778
eCash,Risky,12.27862888242266
Axie Infinity,Risky,12.3928903874823
Celo,Risky,12.568052920326956
Uniswap,Risky,14.09886740523324
SushiSwap,Risky,14.253672076790224
SHIBA INU,Risky,32.67302582433592
Aave,Risky,498.6464941381468
