Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 11, 2021",$1.94,$2.06,$1.88,$2.03,"$726,397,489","$12,681,941,071"
"Nov 10, 2021",$1.95,$2.29,$1.84,$1.93,"$1,096,601,258","$12,076,496,777"
"Nov 09, 2021",$2.05,$2.06,$1.93,$1.94,"$430,282,326","$12,134,933,699"
"Nov 08, 2021",$1.87,$2.08,$1.84,$2.05,"$598,547,948","$12,798,827,748"
"Nov 07, 2021",$1.84,$1.87,$1.82,$1.87,"$189,001,016","$11,623,383,271"
"Nov 06, 2021",$1.85,$1.87,$1.78,$1.84,"$215,086,025","$11,443,973,077"
"Nov 05, 2021",$1.86,$1.91,$1.83,$1.85,"$257,097,471","$11,494,485,779"
"Nov 04, 2021",$1.93,$1.96,$1.82,$1.86,"$360,452,517","$11,559,504,015"
"Nov 03, 2021",$1.86,$1.97,$1.83,$1.93,"$466,342,620","$11,964,835,569"
"Nov 02, 2021",$1.83,$1.91,$1.83,$1.86,"$310,956,867","$11,553,837,842"
"Nov 01, 2021",$1.83,$1.87,$1.78,$1.83,"$285,592,980","$11,377,624,521"
"Oct 31, 2021",$1.82,$1.86,$1.76,$1.83,"$291,738,506","$11,326,966,160"
"Oct 30, 2021",$1.88,$1.88,$1.79,$1.82,"$258,239,743","$11,269,488,695"
"Oct 29, 2021",$1.85,$1.91,$1.84,$1.87,"$392,802,835","$11,582,825,905"
"Oct 28, 2021",$1.79,$1.88,$1.76,$1.85,"$504,296,756","$11,426,150,540"
"Oct 27, 2021",$2.04,$2.09,$1.71,$1.79,"$726,406,070","$11,049,278,472"
"Oct 26, 2021",$2.05,$2.10,$1.95,$2.04,"$632,762,093","$12,586,640,619"
"Oct 25, 2021",$1.82,$2.07,$1.81,$2.04,"$549,366,780","$12,583,727,577"
"Oct 24, 2021",$1.91,$1.92,$1.78,$1.82,"$265,679,600","$11,182,821,502"
"Oct 23, 2021",$1.86,$1.94,$1.85,$1.91,"$343,212,664","$11,757,311,279"
"Oct 22, 2021",$1.78,$1.94,$1.77,$1.86,"$534,119,389","$11,436,654,370"
"Oct 21, 2021",$1.79,$1.88,$1.76,$1.78,"$438,671,617","$10,961,464,886"
"Oct 20, 2021",$1.71,$1.82,$1.69,$1.79,"$274,389,721","$10,997,689,539"
"Oct 19, 2021",$1.74,$1.77,$1.69,$1.71,"$221,010,508","$10,520,507,888"
"Oct 18, 2021",$1.77,$1.79,$1.72,$1.74,"$212,462,805","$10,676,455,876"
"Oct 17, 2021",$1.80,$1.89,$1.73,$1.77,"$363,795,236","$10,867,962,013"
"Oct 16, 2021",$1.75,$1.85,$1.74,$1.80,"$353,041,362","$11,042,524,272"
"Oct 15, 2021",$1.81,$1.81,$1.73,$1.75,"$327,662,647","$10,771,854,179"
"Oct 14, 2021",$1.84,$1.88,$1.78,$1.80,"$337,223,002","$11,085,107,958"
"Oct 13, 2021",$1.75,$1.84,$1.69,$1.84,"$356,995,291","$11,295,782,814"
"Oct 12, 2021",$1.72,$1.75,$1.61,$1.74,"$411,949,621","$10,718,231,380"
"Oct 11, 2021",$1.77,$1.83,$1.68,$1.72,"$307,108,559","$10,548,707,234"
"Oct 10, 2021",$1.89,$1.89,$1.76,$1.77,"$276,716,327","$10,878,525,011"
"Oct 09, 2021",$1.90,$1.95,$1.87,$1.89,"$327,236,003","$11,608,159,536"
"Oct 08, 2021",$1.89,$2.00,$1.88,$1.90,"$596,084,288","$11,660,005,320"
"Oct 07, 2021",$1.82,$1.93,$1.75,$1.89,"$641,358,610","$11,589,759,866"
"Oct 06, 2021",$1.95,$1.99,$1.79,$1.82,"$686,265,672","$11,166,215,861"
"Oct 05, 2021",$1.94,$2.06,$1.92,$1.95,"$633,197,149","$11,986,371,629"
"Oct 04, 2021",$1.98,$2.09,$1.89,$1.93,"$1,167,834,065","$11,853,017,238"
"Oct 03, 2021",$1.77,$2.00,$1.73,$1.99,"$827,903,086","$12,128,198,714"
"Oct 02, 2021",$1.77,$1.88,$1.71,$1.78,"$602,938,373","$10,792,861,252"
"Oct 01, 2021",$1.63,$1.81,$1.60,$1.77,"$624,507,474","$10,722,163,284"
"Sep 30, 2021",$1.61,$1.66,$1.57,$1.63,"$490,314,234","$9,801,705,834"
"Sep 29, 2021",$1.57,$1.75,$1.55,$1.61,"$535,584,347","$9,607,090,051"
"Sep 28, 2021",$1.68,$1.72,$1.55,$1.56,"$535,757,746","$9,308,076,878"
"Sep 27, 2021",$1.78,$1.85,$1.67,$1.67,"$667,754,720","$9,926,989,624"
"Sep 26, 2021",$1.73,$1.78,$1.57,$1.77,"$565,724,981","$10,457,738,363"
"Sep 25, 2021",$1.79,$1.81,$1.70,$1.73,"$502,973,449","$10,123,376,203"
"Sep 24, 2021",$2.00,$2.01,$1.70,$1.79,"$883,429,431","$10,353,556,236"
"Sep 23, 2021",$1.85,$2.05,$1.79,$2.01,"$904,383,367","$11,468,319,100"
"Sep 22, 2021",$1.57,$1.89,$1.55,$1.84,"$794,461,325","$10,439,917,419"
"Sep 21, 2021",$1.67,$1.82,$1.53,$1.57,"$837,282,638","$8,876,192,737"
"Sep 20, 2021",$1.97,$1.98,$1.55,$1.65,"$1,094,994,134","$9,112,459,588"
"Sep 19, 2021",$2.07,$2.15,$1.94,$1.97,"$745,020,454","$10,775,638,051"
"Sep 18, 2021",$1.92,$2.13,$1.90,$2.07,"$811,391,354","$11,160,887,286"
