Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 11, 2021",$48.79,$51.90,$47.60,$50.60,"$901,227,769","$24,035,916,149"
"Nov 10, 2021",$50.23,$54.68,$44.54,$48.79,"$1,387,394,913","$23,591,291,166"
"Nov 09, 2021",$54.12,$54.13,$50.06,$50.24,"$782,405,470","$20,047,147,304"
"Nov 08, 2021",$50.58,$54.77,$49.73,$54.16,"$983,210,921","$21,611,655,257"
"Nov 07, 2021",$51.25,$52.63,$50.48,$50.61,"$537,619,575","$20,200,920,571"
"Nov 06, 2021",$49.97,$51.18,$47.54,$51.18,"$663,787,147","$20,428,667,017"
"Nov 05, 2021",$51.96,$52.99,$48.87,$49.97,"$890,950,359","$19,947,478,575"
"Nov 04, 2021",$47.99,$52.17,$46.16,$51.92,"$1,409,802,677","$20,744,378,607"
"Nov 03, 2021",$44.77,$49.71,$43.91,$48.06,"$1,387,485,594","$19,218,142,155"
"Nov 02, 2021",$44.09,$45.49,$42.79,$44.76,"$586,225,495","$17,906,111,861"
"Nov 01, 2021",$42.88,$44.35,$41.59,$44.06,"$559,201,533","$17,636,177,669"
"Oct 31, 2021",$43.26,$43.64,$41.27,$42.89,"$533,866,227","$17,185,456,899"
"Oct 30, 2021",$45.62,$45.71,$42.54,$43.34,"$492,508,763","$17,366,915,389"
"Oct 29, 2021",$43.01,$45.96,$42.22,$45.58,"$773,298,347","$18,268,887,434"
"Oct 28, 2021",$39.90,$43.68,$39.65,$42.96,"$926,270,556","$17,234,134,472"
"Oct 27, 2021",$43.85,$44.88,$38.54,$39.87,"$1,397,247,761","$16,009,771,501"
"Oct 26, 2021",$42.76,$46.91,$42.76,$43.87,"$1,258,425,599","$17,595,213,093"
"Oct 25, 2021",$41.41,$43.77,$41.23,$42.79,"$754,871,874","$17,169,878,348"
"Oct 24, 2021",$43.19,$43.56,$39.95,$41.48,"$709,523,190","$16,651,413,285"
"Oct 23, 2021",$43.70,$44.04,$41.58,$43.19,"$838,316,867","$17,337,793,703"
"Oct 22, 2021",$40.95,$45.48,$40.91,$43.62,"$1,745,307,758","$17,515,686,438"
"Oct 21, 2021",$42.59,$43.62,$39.31,$40.91,"$1,458,679,342","$16,426,274,266"
"Oct 20, 2021",$37.71,$43.96,$37.71,$42.55,"$1,427,182,894","$17,105,262,479"
"Oct 19, 2021",$35.81,$38.36,$35.59,$37.73,"$640,136,051","$15,162,722,248"
