Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 11, 2021",$25.34,$26.11,$24.94,$25.46,"$327,675,351","$15,978,734,268"
"Nov 10, 2021",$26.36,$28.43,$24.27,$25.34,"$727,246,143","$15,905,227,607"
"Nov 09, 2021",$26.25,$27.81,$26.03,$26.38,"$529,468,138","$16,557,907,263"
"Nov 08, 2021",$25.35,$26.34,$25.26,$26.25,"$345,765,450","$16,476,135,908"
"Nov 07, 2021",$25.20,$25.52,$25.00,$25.35,"$165,629,137","$15,908,732,558"
"Nov 06, 2021",$25.61,$25.80,$24.51,$25.18,"$237,451,908","$15,804,083,285"
"Nov 05, 2021",$25.77,$26.09,$25.31,$25.61,"$306,264,785","$16,073,564,710"
"Nov 04, 2021",$26.84,$27.47,$25.28,$25.79,"$394,831,143","$16,183,254,664"
"Nov 03, 2021",$26.18,$27.05,$25.44,$26.86,"$461,720,151","$16,854,303,822"
"Nov 02, 2021",$25.64,$26.32,$25.18,$26.17,"$273,444,353","$16,425,711,538"
"Nov 01, 2021",$25.00,$26.47,$24.18,$25.63,"$356,990,406","$16,085,757,277"
"Oct 31, 2021",$24.91,$25.29,$24.05,$24.99,"$218,835,107","$15,685,350,733"
"Oct 30, 2021",$25.43,$25.55,$24.50,$24.91,"$198,420,734","$15,632,563,074"
"Oct 29, 2021",$24.90,$25.80,$24.73,$25.41,"$291,901,890","$15,948,849,970"
"Oct 28, 2021",$24.14,$25.36,$24.01,$24.94,"$426,505,180","$15,652,213,817"
"Oct 27, 2021",$26.57,$28.29,$23.79,$24.15,"$678,496,587","$14,773,661,307"
"Oct 26, 2021",$26.72,$28.28,$26.30,$26.56,"$553,145,671","$16,243,732,205"
"Oct 25, 2021",$25.79,$26.71,$25.71,$26.71,"$231,343,141","$16,334,162,785"
"Oct 24, 2021",$26.87,$27.24,$25.39,$25.84,"$250,045,762","$15,803,193,850"
"Oct 23, 2021",$25.63,$26.89,$25.30,$26.84,"$255,689,526","$16,417,602,844"
"Oct 22, 2021",$26.10,$26.82,$25.35,$25.64,"$342,294,131","$15,680,806,884"
"Oct 21, 2021",$27.13,$27.74,$25.85,$26.11,"$389,710,903","$15,970,711,507"
"Oct 20, 2021",$26.02,$27.10,$25.57,$27.04,"$307,369,982","$16,537,092,287"
"Oct 19, 2021",$25.66,$26.28,$25.31,$26.07,"$251,703,468","$15,945,617,072"
"Oct 18, 2021",$25.92,$26.22,$24.93,$25.65,"$262,817,791","$15,689,958,557"
"Oct 17, 2021",$27.05,$27.12,$25.11,$25.93,"$394,964,386","$15,858,166,089"
"Oct 16, 2021",$25.86,$27.89,$25.73,$27.01,"$513,409,934","$16,521,865,268"
"Oct 15, 2021",$26.41,$26.82,$25.48,$25.85,"$493,881,417","$15,810,596,116"
"Oct 14, 2021",$24.68,$26.46,$24.55,$26.40,"$513,293,234","$16,148,171,218"
"Oct 13, 2021",$23.47,$25.69,$23.21,$24.67,"$671,655,138","$15,092,223,919"
"Oct 12, 2021",$24.20,$24.20,$22.34,$23.47,"$323,630,450","$14,353,061,934"
"Oct 11, 2021",$24.20,$25.05,$23.58,$24.16,"$326,615,164","$14,774,453,610"
"Oct 10, 2021",$25.13,$25.99,$24.14,$24.25,"$354,545,524","$14,833,791,311"
"Oct 09, 2021",$24.77,$25.65,$24.59,$25.13,"$291,060,424","$15,371,932,132"
"Oct 08, 2021",$25.53,$26.07,$24.67,$24.77,"$368,392,614","$15,149,136,618"
"Oct 07, 2021",$25.26,$26.28,$24.52,$25.54,"$417,397,076","$15,618,435,481"
"Oct 06, 2021",$25.65,$25.95,$23.87,$25.29,"$479,199,274","$15,467,056,247"
"Oct 05, 2021",$25.33,$25.85,$24.63,$25.66,"$401,440,871","$15,697,708,460"
"Oct 04, 2021",$26.01,$26.02,$24.32,$25.30,"$456,608,399","$15,476,583,543"
"Oct 03, 2021",$26.15,$26.61,$25.73,$26.00,"$402,608,636","$15,905,262,492"
"Oct 02, 2021",$25.62,$27.21,$25.40,$26.18,"$664,421,727","$16,011,952,420"
"Oct 01, 2021",$23.54,$25.79,$23.52,$25.64,"$704,377,664","$15,680,148,454"
"Sep 30, 2021",$23.02,$23.93,$22.65,$23.53,"$551,151,572","$14,390,174,314"
"Sep 29, 2021",$23.12,$24.26,$22.36,$23.05,"$853,259,462","$14,098,195,847"
"Sep 28, 2021",$22.41,$24.97,$22.28,$23.06,"$1,343,802,036","$14,103,884,127"
