Name,Symbol,Rank,Date,Open,High,Low,Close,Volume,Market-cap
ICON,ICX,81,25-05-2020,1.16,1.46,1.16,1.42,129576,0
ICON,ICX,81,26-05-2020,1.35,1.44,1.19,1.21,122765,0
ICON,ICX,81,27-05-2020,1.21,1.47,1.2,1.42,150949,0
ICON,ICX,81,28-05-2020,1.39,1.43,1.3,1.38,178389,0
ICON,ICX,81,29-05-2020,1.42,1.46,1.3,1.38,128432,0
ICON,ICX,81,30-05-2020,1.37,1.56,1.34,1.55,184225,0
ICON,ICX,81,31-05-2020,1.55,1.56,1.39,1.39,145128,0
ICON,ICX,81,01-06-2020,1.42,1.59,1.39,1.53,155398,0
ICON,ICX,81,02-06-2020,1.53,1.6,1.39,1.42,134770,0
ICON,ICX,81,03-06-2020,1.42,1.51,1.4,1.45,117811,0
ICON,ICX,81,04-06-2020,1.45,1.52,1.36,1.44,182803,0
ICON,ICX,81,05-06-2020,1.44,1.51,1.41,1.45,148809,0
ICON,ICX,81,06-06-2020,1.45,1.58,1.43,1.45,148994,0
ICON,ICX,81,07-06-2020,1.45,1.53,1.41,1.49,155774,0
ICON,ICX,81,08-06-2020,1.46,1.55,1.44,1.48,155427,0
ICON,ICX,81,09-06-2020,1.47,1.61,1.45,1.6,197797,0
ICON,ICX,81,10-06-2020,1.6,1.61,1.42,1.47,289624,0
ICON,ICX,81,11-06-2020,1.45,1.49,1.33,1.4,210515,0
ICON,ICX,81,12-06-2020,1.4,1.54,1.26,1.36,153964,0
ICON,ICX,81,13-06-2020,1.35,1.38,1.32,1.33,133215,0
ICON,ICX,81,14-06-2020,1.33,1.41,1.29,1.35,138147,0
ICON,ICX,81,15-06-2020,1.35,1.39,1.28,1.36,144887,0
ICON,ICX,81,16-06-2020,1.32,1.38,1.27,1.33,151143,0
ICON,ICX,81,17-06-2020,1.33,1.34,1.26,1.29,163837,0
ICON,ICX,81,18-06-2020,1.32,1.48,1.28,1.47,161321,0
ICON,ICX,81,19-06-2020,1.44,1.47,1.27,1.28,288382,0
ICON,ICX,81,20-06-2020,1.29,1.49,1.27,1.49,183431,0
ICON,ICX,81,21-06-2020,1.43,1.68,1.35,1.67,236560,0
ICON,ICX,81,22-06-2020,1.67,2,1.52,1.63,468146,0
ICON,ICX,81,23-06-2020,1.64,2.02,1.63,1.9,352771,0
ICON,ICX,81,24-06-2020,1.9,2.03,1.88,2.03,356731,0
ICON,ICX,81,25-06-2020,2.03,2.53,2.02,2.24,365284,0
ICON,ICX,81,26-06-2020,2.24,2.6,2.23,2.32,433808,0
ICON,ICX,81,27-06-2020,2.32,2.41,2.19,2.29,393091,0
ICON,ICX,81,28-06-2020,2.29,2.3,1.88,1.91,633461,0
ICON,ICX,81,29-06-2020,1.91,1.91,1.82,1.85,236808,0
ICON,ICX,81,30-06-2020,1.84,1.87,1.81,1.82,205260,0
ICON,ICX,81,01-07-2020,1.82,1.99,1.78,1.92,168946,0
ICON,ICX,81,02-07-2020,1.91,2.15,1.8,2.12,197778,0
ICON,ICX,81,03-07-2020,2.11,2.24,2.07,2.17,196924,0
ICON,ICX,81,04-07-2020,2.17,2.25,2.16,2.22,205648,0
ICON,ICX,81,05-07-2020,2.22,2.27,2.05,2.26,207958,0
ICON,ICX,81,06-07-2020,2.27,2.36,2.24,2.34,212906,0
ICON,ICX,81,07-07-2020,2.33,2.35,2.23,2.3,203741,0
ICON,ICX,81,08-07-2020,2.3,2.36,2.09,2.15,178894,0
ICON,ICX,81,09-07-2020,2.16,2.17,2,2.04,183162,0
ICON,ICX,81,10-07-2020,2.04,2.23,1.99,2.22,202097,0
ICON,ICX,81,11-07-2020,2.22,2.23,2,2.03,187841,0
ICON,ICX,81,12-07-2020,2.03,2.38,1.98,2.07,183099,0
ICON,ICX,81,13-07-2020,2.07,2.32,2.03,2.03,317113,0
ICON,ICX,81,14-07-2020,2.04,2.04,1.69,1.73,770367,0
ICON,ICX,81,15-07-2020,1.72,1.75,1.67,1.7,596599,0
ICON,ICX,81,16-07-2020,1.69,1.75,1.63,1.68,589142,0
ICON,ICX,81,17-07-2020,1.68,2.05,1.59,1.93,980706,0
ICON,ICX,81,18-07-2020,1.93,2.01,1.84,1.9,913884,0
ICON,ICX,81,19-07-2020,1.89,2.01,1.85,1.86,837586,0
ICON,ICX,81,20-07-2020,1.86,2.24,1.86,2.17,1056637,0
